Timestamp_PC,Waktu_RTC,Suhu_C,Kelembaban_RH,Status_Kipas
2026-09-10 12:07:59,2026-09-10 12:07:02,26.4,54.4,ON
2026-09-10 12:08:01,2026-09-10 12:07:03,26.4,54.3,ON
2026-09-10 12:08:38,2026-09-10 12:07:40,26.4,54.4,ON
2026-09-10 12:09:15,2026-09-10 12:08:18,26.4,54.4,ON
2026-09-10 12:09:52,2026-09-10 12:08:54,26.4,54.5,ON
2026-09-10 12:10:29,2026-09-10 12:09:32,26.3,54.5,ON
2026-09-10 12:11:06,2026-09-10 12:10:08,26.3,54.6,ON
2026-09-10 12:11:43,2026-09-10 12:10:45,26.3,54.6,ON
2026-09-10 12:13:07,2026-09-10 12:12:07,26.4,54.4,ON
2026-09-10 12:13:20,2026-09-10 12:12:23,26.4,54.4,ON
2026-09-10 12:13:35,2026-09-10 12:12:38,26.4,54.4,ON
2026-09-10 12:14:13,2026-09-10 12:13:15,26.4,54.6,ON
2026-09-10 12:14:26,2026-09-10 12:13:28,26.4,54.4,ON
2026-09-10 12:14:50,2026-09-10 12:13:52,26.3,54.5,ON
2026-09-10 12:15:29,2026-09-10 12:14:32,26.3,54.5,ON
2026-09-10 12:15:42,2026-09-10 12:14:45,26.4,55.0,ON
2026-09-10 12:16:19,2026-09-10 12:15:21,26.3,55.0,ON
2026-09-10 12:16:55,2026-09-10 12:15:58,26.3,54.6,ON
2026-09-10 12:17:33,2026-09-10 12:16:35,26.3,54.4,ON
2026-09-10 12:18:10,2026-09-10 12:17:13,26.3,54.4,ON
2026-09-10 12:18:48,2026-09-10 12:17:50,26.3,54.6,ON
2026-09-10 12:19:25,2026-09-10 12:18:27,26.3,54.7,ON
2026-09-10 12:20:02,2026-09-10 12:19:05,26.3,54.9,ON
